_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;;
500178;brossette;PAROI FIXE;;paroi fixe 76-84;NABIS;un;282,16;201,54;;;;;;;
500179;brossette;PAROI FIXE;;paroi fixe 84-92;NABIS;un;298,59;213,28;;;;;;;
500180;brossette;PAROI FIXE;;paroi fixe 92-100;NABIS;un;313,35;223,82;;;;;;;
500181;brossette;ACCES D'ANGLE;;accès d'angle carré 76,5-79,5;NABIS;un;375,24;268,03;;;;;;;
500182;brossette;ACCES D'ANGLE;;accès d'angle carré 86,5-89,5;NABIS;un;391,93;279,95;;;;;;;
500183;brossette;ACCES D'ANGLE;;1/4 rond 2 coulissants 76,5-79,5;NABIS;un;604,72;431,94;;;;;;;
500184;brossette;ACCES D'ANGLE;;1/4 rond 2 coulissants 86,5-89,5;NABIS;un;656,32;468,80;;;;;;;
500185;brossette;ACCES D'ANGLE;;1/4 rond 1 coulissant 87-91;NABIS;un;860,83;614,88;;;;;;;
500186;brossette;ACCES D'ANGLE;;profilé de compensation de 3 cm;NABIS;un;46,14;32,96;;;;;;;
500187;brossette;Cabine de douches;L11IZ807;cabine IZIBOX porte pivotante 80x80;LEDA;un;727,64;519,74;;;;;;;
500188;brossette;Cabine de douches;L11IZ889;cabine IZIBOX porte pivotante 90x90;LEDA;un;823,68;588,34;;;;;;;
500189;brossette;Cabine de douches;L11IZ887;cabine IZIBOX porte battante 90x90;LEDA;un;753,59;538,28;;;;;;;
500190;brossette;Cabine de douches;L11IZ839;Cabine IZIBOX 1/4 rond 90 mitigeur méca;LEDA;un;911,05;650,75;;;;;;;
500191;brossette;Cabine de douches;L11IL6011;Cabine ILO rectangulaire 100x80 Mitigeur thermo;LEDA;un;1671,21;1193,72;;;;;;;
500192;brossette;Cabine de douches;L11IL6013;Cabine ILO 1/4 rond 90x90 mitigeur thermo;LEDA;un;#VALEUR!;FIN;;;;;;;
