_ID;FOURNISSEUR;FAMILLE;S_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900106;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS100-050IFW;29006208;RADIATEURSECHE-SERVIETTESFASSANESPA1000WBLANCAVECCOMMANDEIRS;ACOVA;1;591,91;328,16
900107;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS050-050IFW;29006206;RADIATEURSECHE-SERVIETTESFASSANESPA500WBLANCAVECCOMMANDEIRS;ACOVA;1;473,79;262,55
900108;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS075-050IFW;29006207;RADIATEURSECHE-SERVIETTESFASSANESPA750WBLANCAVECCOMMANDEIRS;ACOVA;1;513,57;281,09
900109;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;FR118-055;29003142;RADIATEURSECHE-SERVIETTESFASSANESPAASYMETRIQUEEC594WBLC;ACOVA;1;384,44;239,98
900110;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;FR168-055;29003143;RADIATEURSECHE-SERVIETTESFASSANESPAASYMETRIQUEEC809WBLC;ACOVA;1;498,78;311,36
900111;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;FAS-082-050;29002913;RADIATEURSECHE-SERVIETTESFASSANESPAEC411WBLC;ACOVA;1;253,37;158,16
900112;SONEPAROUEST;SECHE-SERVIETTESEAUCHAUDE;;FAS-185-080;29002916;RADIATEURSECHE-SERVIETTESFASSANESPAEC1223WBLC;ACOVA;1;534,68;333,77
900113;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS-050-050-TF;29002917;RADIATEURSECHE-SERVIETTESFASSANESPAEL500WBLC;ACOVA;1;463,39;246,02
900114;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS050-050;29520814;RADIATEURSECHE-SERVIETTESFASSANESPAEL500WBLC;ACOVA;1;366,09;231,21
900115;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS-075-050-TF;29002918;RADIATEURSECHE-SERVIETTESFASSANESPAEL750WBLC;ACOVA;1;503,06;264,37
900116;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS075-050;29520813;RADIATEURSECHE-SERVIETTESFASSANESPAEL750WBLC;ACOVA;1;405,76;256,27
900117;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS-100-050-TF;29002919;RADIATEURSECHE-SERVIETTESFASSANESPAEL1000WBLC;ACOVA;1;581,40;310,88
900118;SONEPAROUEST;SECHE-SERVIETTESELECTRIQUE;;TFAS100-050;29520812;RADIATEURSECHE-SERVIETTESFASSANESPAEL1000WBLC;ACOVA;1;484,10;305,75
