_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
200864;Socolec;GENIECLIMATIQUE;;GESTTHERM;X;GESTIONNAIREDECHARGECOURANTPORTEUR;STIEBEL;UN;;
200865;Socolec;GENIECLIMATIQUE;;GESTPROG;X;PROGRAMMATEURMULTIFONCTIONS;STIEBEL;UN;;
200866;Socolec;GENIECLIMATIQUE;;CPA-G;X;RECEPTEURP/ACCUCOURANTPORTEUR;STIEBEL;UN;;
200867;Socolec;GENIECLIMATIQUE;;RCB-G;X;RECEPTEURP/CONVECTCOURANTPORTEUR;STIEBEL;UN;;
200868;Socolec;GENIECLIMATIQUE;;RTEC2;X;THERMOSTATD'AMBIANCEMURAL;STIEBEL;UN;;
200869;Socolec;GENIECLIMATIQUE;;THFE;X;THERMOSTATINTEGRE;STIEBEL;UN;;
200870;Socolec;ECLAIRAGE;;4095;00058004095;KITSPOTHIDROELECTRONIQUEIP20/65BLANC;ARIC;UN;39,19;14,89
200871;Socolec;ECLAIRAGE;;473;00058000473;KITSPOTFIXE230VBLANC;ARIC;UN;21,75;8,27
200872;Socolec;ECLAIRAGE;;491;00058000491;KITSPOTFIXE230VBLANCGU10HALOGENE50W;ARIC;UN;23,68;9,00
200873;Socolec;ECLAIRAGE;;474;00058000474;KITSPOTFIXE230VDORE;ARIC;UN;32,71;12,43
200874;Socolec;ECLAIRAGE;;492;00058000492;KITSPOTFIXE230VNICKELGU10HALOGENE50W;ARIC;UN;26,62;10,12
200875;Socolec;ECLAIRAGE;;475;00058000475;KITSPOTORIENTABLE230VBLANC;ARIC;UN;21,96;8,35
200876;Socolec;ECLAIRAGE;;494;00058000494;KITSPOTORIENTABLE230VBLANCGU10HALOGENE50W;ARIC;UN;25,08;9,53
200877;Socolec;ECLAIRAGE;;476;00058000476;KITSPOTORIENTABLE230VDORE;ARIC;UN;34,74;13,20
200878;Socolec;ECLAIRAGE;;495;00058000495;KITSPOTORIENTABLE230VNICKELGU10HALOGENE50W;ARIC;UN;29,09;11,05
200879;Socolec;ECLAIRAGE;;4915;00058004915;KITSPOTTBTFIXEELECTRONIQUEDORE;ARIC;UN;53,04;20,15
200880;Socolec;ECLAIRAGE;;4916;00058004916;KITSPOTTBTFIXEELECTRONIQUEBLANC;ARIC;UN;37,61;14,29
200881;Socolec;ECLAIRAGE;;4912;00058004912;KITSPOTTBTFIXEELECTRONIQUENICKEL;ARIC;UN;40,84;15,52
200882;Socolec;ECLAIRAGE;;4910;00058004910;KITSPOTTBTORIENTABLEELECTRONIQUEBLANCLUNAR50/21SEULBORNIER;ARIC;UN;22,71;8,63
200883;Socolec;ECLAIRAGE;;4918;00058004918;KITSPOTTBTORIENTABLEELECTRONIQUEDORE;ARIC;UN;54,81;20,83
