_ID;FOURNISSEUR;FAMILLE;SOUS_FAMILLE;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
900142;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N50;12111134;COUDENOIRMFN'92DE50/60;VALFITGROUPESAS;UNITE;16,46;0
900143;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N66;12111159;COUDENOIRMFN'92DE66/76;VALFITGROUPESAS;UNITE;41,62;0
900144;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N80;12111167;COUDENOIRMFN'92DE80/90;VALFITGROUPESAS;UNITE;54,71;0
900145;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;92N102;12111175;COUDENOIRMFN'92DE102/114;VALFITGROUPESAS;UNITE;92,03;0
900146;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;94N12;12111340;COUDENOIRMMN'94DE12/17;VALFITGROUPESAS;UNITE;12,54;0
900147;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;94N15;12111357;COUDENOIRMMN'94DE15/21;VALFITGROUPESAS;UNITE;12,85;0
900148;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;94N20;12111365;COUDENOIRMMN'94DE20/27;VALFITGROUPESAS;UNITE;14,27;0
900149;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;97N20;12111415;COUDENOIRMFN'97DE20/27S/JT;VALFITGROUPESAS;UNITE;25,17;0
900150;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;97N26;12111423;COUDENOIRMFN'97DE26/34S/JT;VALFITGROUPESAS;UNITE;31,75;0
900151;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;97N33;12111431;COUDENOIRMFN'97DE33/42S/JT;VALFITGROUPESAS;UNITE;54,56;0
900152;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;97N40;12111449;COUDENOIRMFN'97DE40/49S/JT;VALFITGROUPESAS;UNITE;73,92;0
900153;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;96N8;12111464;COUD.UNIONNOIRFFN'96DE8/13;VALFITGROUPESAS;UNITE;29,87;0
900154;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;96N12;12111472;COUD.UNIONNOIRFFN'96DE12/17;VALFITGROUPESAS;UNITE;28,06;0
900155;ANJACCSI;INDUSTRIE;RACCORDSFONTENOIR;96N15;12111480;COUD.UNIONNOIRFFN'96DE15/21;VALFITGROUPESAS;UNITE;11,06;0
