_ID;FOURNISSEUR;FAMILLE  ;REFERENCE;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET
170873;CDL;FILS ET CABLES;202986;Gr3 - 900 Mhz - 1 à 10Gb/s  pour RJ45 ;neant;CE;139;69,50
170874;CDL;FILS ET CABLES;250389;1 P 9/10è ( AWG20);neant;CE;58;28,92
170875;CDL;FILS ET CABLES;250390;2 P 9/10è( AWG20);neant;CE;77;38,41
170876;CDL;FILS ET CABLES;250391;3 P 9/10è( AWG20);neant;CE;143;71,64
170877;CDL;FILS ET CABLES;250392;5 P 9/10è ( AWG20);neant;CE;225;112,45
170878;CDL;FILS ET CABLES;250440;10 P 9/10è ( AWG20);neant;CE;410;205,04
170879;CDL;FILS ET CABLES;202980;Coaxial blanc 17 VATC;neant;CE;33;16,50
170880;CDL;FILS ET CABLES;neant;Gr3 - 900 Mhz - 1 à 10Gb/s  pour RJ45 ;neant;CE;;
170881;CDL;FILS ET CABLES;251017;HO7 RNF 3 G 2,5;neant;CE;246;122,97
170882;CDL;FILS ET CABLES;250513;HO7 RNF 5 G 2,5;neant;CE;405;202,66
170883;CDL;FILS ET CABLES;250471;HO7 RNF 3 G 1,5;neant;CE;164;81,80
170884;CDL;FILS ET CABLES;250512;HO7 RNF 5 G 1,5;neant;CE;268;133,92
170885;CDL;FILS ET CABLES;250473;HO7 RNF 3 G 4;neant;CE;459;229,38
170886;CDL;FILS ET CABLES;250488;HO7 RNF 5 G 4;neant;CE;738;369,14
170887;CDL;FILS ET CABLES;250474;HO7 RNF 3 G 6;neant;CE;629;314,63
170888;CDL;FILS ET CABLES;250490;HO7 RNF 5 G 6;neant;CE;1038;519,10
170889;CDL;FILS ET CABLES;201690;CANAL ICTA 16 janoplast;neant;CE;43;21,42
170890;CDL;FILS ET CABLES;201691;CANAL ICTA 20 janoplas;neant;CE;47;23,61
170891;CDL;FILS ET CABLES;201692;CANAL ICTA 25 janoplast;neant;CE;80;39,97
170892;CDL;FILS ET CABLES;201464;CANAL ICTA 32 janoplast;neant;CE;157;78,63
170893;CDL;FILS ET CABLES;201465;CANAL ICTA 40 janoplast;neant;CE;245;122,40
170894;CDL;FILS ET CABLES;916498;Lubrifiant Yellow      1 litre;neant;CE;20;10,09
170895;CDL;FILS ET CABLES;201611;CANAL ICA 16;neant;CE;31;15,60
